Aguja de res,33,51,6.8,2.6,0,20.6,77.5,3,0.6,20.9,6.6
Anchoa con aceite,24,50,7,2.6,0,20.4,2.9,55.7,1.1,880.3,16.3
Arenque cocido,25,51,5.8,2.9,0,19.3,9,18.5,0.4,28.8,11.7
Arenque fresco crudo,35,55,6.3,3.2,0,21,9.8,20,0.4,31.5,12.8
Arrachera cruda,35,49,7.5,1.9,0,11.6,0,8.4,0.5,19.3,9.2
Arrachera de res cruda,30,56,8.4,2.2,0,14.7,0,5.4,0.5,17.1,9.6
Atún blanco en aceite,30,56,8,2.4,0,7,1.2,0.8,0.1,91.2,18
Atún en aceite drenado,33,66,9.7,2.7,0,10.3,7.7,4.3,0.5,118,25.3
Barbacoa,40,54,7.6,2.4,0,26,0,2.8,0.9,30,15.2
Barbacoa con hueso,38,51,7.2,2.3,0,24.5,0,2.6,0.8,28.3,14.3
Bistec de ternera,35,55,6.9,2.8,0,31.5,0,3.9,1.1,31.5,5.5
Bonito,31,51,7.3,2.2,0,0,0,8,0.2,12.2,4.3
Bonito en aceite,25,55,7.3,2.9,0,11.7,0,7.2,0.3,0,4
Bonito filereado,30,50,7.2,2.2,0,0,0,7.8,0.2,12,4.2
Cabeza de carnero cocida,50,55,7,2.8,0,32.2,0,8.4,1,37.1,18.8
Cabeza de cerdo,50,55,7,2.8,0,32.2,0,8.4,1,37.1,14.1
Calamar frito,35,61,6.3,2.6,2.7,91,3.7,13.6,0.4,107.1,15.7
Carne de cerdo,40,56,7.9,2.5,0,26,0.4,2.4,0.5,32.8,13.2
Carne de cerdo molida,40,56,7.9,2.5,0,26,0.4,2.4,0.5,32.8,11.4
Carne de ganzo de crianza,32,52,7.4,2.3,0,27.2,3.9,4.2,0.8,28.2,5.4
Carne de pato de crianza,39,51,7.1,2.3,0,30,9.4,4.3,0.9,28.9,5.4
Carne de res (promedio),30,54,6.2,3,0,19.5,1.8,3.6,0.9,19.5,5.9
Carne de ternera,35,55,6.9,2.8,0,31.5,0,3.9,1.1,31.5,5.5
Carne molida de cerdo,40,56,7.9,2.5,0,26,0.4,2.4,0.5,32.8,9.8
Carne promedio,29,51,5.9,2.9,0,18.5,1.7,3.4,0.9,18.5,5.7
Carnero,40,54,7.6,2.4,0,26,0,2.8,0.9,30,15.2
Carnero con hueso,38,51,7.2,2.3,0,24.5,0,2.6,0.8,28.3,14.3
Carpa,41,51,7.2,2.3,0,26.7,3.8,16.7,0.5,20,5.7
Carpa cocida,30,49,6.8,2.2,0,25.1,2.8,15.5,0.5,19.1,5.4
