Arenque marinado,46,73,8.3,4.2,0,27.6,12.9,26.2,0.5,41.4,16.8
Bistec bola,25,71,7.2,4.5,0,24,0,1.5,0.8,12.5,5
Bola de res,25,71,7.2,4.5,0,24,0,1.5,0.8,12.5,5
Boquerones (fritos),40,70,7.7,4.1,0.1,nd,nd,67.2,0,0,5.6
Carne de suadero,30,75,7.8,4.8,0,20.9,0,1.7,1,20.3,0
Carne deshebrada,30,75,7.4,4.8,0,24.6,0,2.1,0.7,14.7,5.9
Carne molida estra magna cocida,30,75,7.4,4.8,0,24.6,0,2.1,0.7,14.7,3.8
Carne molida estra magna salteada,30,77,7.5,4.9,0,24.3,0,2.1,0.7,21,3.8
Caviar,27,67,6.6,4.8,1.1,156.6,72.2,73.3,3.2,399.8,17.5
Caviar negro,27,67,6.6,4.8,1.1,156.6,72.2,73.3,3.2,399.8,17.5
Caviar rojo,27,67,6.6,4.8,1.1,156.6,72.2,73.3,3.2,399.8,17.5
Chicharrón,12,72,6.9,4.7,0,8.9,ND,7.3,0.3,0,0
Chicharrón de cerdo,12,72,6.9,4.7,0,8.9,ND,7.3,0.3,0,0
Chicharrón de puerco,12,72,6.9,4.7,0,8.9,ND,7.3,0.3,0,0
Costillas de cerdo,33,69,6.5,4.6,0,19.5,0.7,1.6,0.2,13.7,10.4
Costillitas de cerdo,33,69,6.5,4.6,0,19.5,0.7,1.6,0.2,13.7,10.4
Gusanos de maguey,35,70,5.8,4.8,0,ND,ND,49.7,1.5,0,0
"Huevo ""enriquecido con DHA-Omega 3 y Vitamina E""",55,70,6,4.5,0.7,199.7,ND,ND,ND,70,16.5
Huevo agra,55,70,6,4.5,0.7,199.7,ND,ND,ND,70,16.5
Huevo batido o revuelto cocido,41,69,4.6,5,0.9,144.7,57.5,29.9,0.5,115.1,9.2
Huevo blanco cocido,44,68,5.5,4.7,0.5,186.6,73.9,22,0.5,54.6,13.6
