Aderezos para ensalada bajos en calorías y grasa,85,40,0,0,8,1066.6,8,ND,ND
Agua quina,117,42,0,0,11.1,16.3,11.1,ND,ND
Ate,13,41,0.4,0.1,9.8,0,9.2,51,5
Ate de guayaba,13,41,0.4,0.1,9.8,0,9.2,51,5
Ate de membrillo,13,41,0.4,0.1,9.8,0,9.2,51,5
Azúcar blanca,8,33,0,0,8.4,0,8.4,68,5.7
Azúcar de mesa,8,33,0,0,8.4,0,8.4,68,5.7
Azúcar glass,10,39,0,0,10,0.1,9.8,68,6.8
Azúcar granulada,8,33,0,0,8.4,0,8.4,68,5.7
Azúcar mascabado,10,36,0,0,9.1,3,9.1,68,6.2
Azúcar morena,9,34,0,0,8.8,2.5,8.7,68,6
Bebida láctea fermentada,80,50,0.9,0.2,11.7,0,11.4,46,5.4
Bebida para deportistas,152,40,0,0,9.8,59.4,8,78,7.6
Bebida para deportistas en polvo,10,36,0,0,9.5,60.3,9,78,7.4
Boost *,78,33,0.3,0,7.9,0.6,7.9,ND,ND
Bubbaloo xtreme,8,33,0.1,0,8.1,0.2,5.7,ND,ND
Bubulubu,12,46,0.1,0.9,9.2,38.5,6.6,ND,ND
Burn *,62,36,0.2,0,9,28,9,ND,ND
Café capuchino helado,80,43,0.7,0.8,8,40,7,ND,ND
Café capuchino instantáneo,8,32,0.2,0.4,6.9,14.4,5.5,ND,ND
Cajeta,9,36,0.5,1,6.4,7.7,ND,ND,ND
Caramelo,12,47,0,0,11.8,4.6,7.5,ND,ND
Caramelo de mantequilla,11,45,0,0.4,10.8,4.8,10.8,ND,ND
Caramelo macizo,12,47,0,0,11.8,4.6,7.5,ND,ND
Caramelo salvavidas,10,40,0,0,10,0,10,70,7
Cáscara de naranja cristalizada,10,32,0,0,8.2,0,ND,ND,ND
Castaña,22,44,0.4,0.3,9.9,0.4,ND,ND,ND
Castaña con cáscara,18,39,0.4,0.4,8.3,0.5,ND,ND,ND
Castaña asada,12,44,0.6,0.5,9.4,4.4,ND,ND,ND
Chewy candy,13,44,0,0.2,10.5,26.1,7.2,ND,ND
Chicle,15,37,0,0,9.9,0.2,9.9,ND,ND
Chicle bajo en azúcar,12,32,0,0,11.4,0.8,ND,ND,ND
Chicloso,12,46,0.3,1.1,8.7,15.5,5.4,ND,ND
Chocolate en polvo sin azúcar,10,40,2,1,6,ND,4,51,3.1
Cococa en polvo,10,40,2,1,6,ND,4,51,3.1
Conos de helado,12,44,0,ND,11.1,ND,ND,ND,ND
Crazy dips sabor frutas,12,45,0,ND,12,0,ND,ND,ND
Cubierta de chocolate ,12,48,0,1.3,9.1,0,0,ND,ND
Cubierta de fresa,16,41,0,0,10.6,3.4,0,ND,ND
Cubierta de piña,16,40,0,0,10.6,9.9,0,ND,ND
Cueritos de fruta,11,39,0,0.3,9,33.3,5.2,99,8.9
Flan en polvo,12,42,0,0,11,51.8,ND,ND,ND
Fruta cristalizada,15,45,0.5,0.1,11,0,11,103,11.4
Gatorade variedad de sabores,200,46,0,0,11.6,91.6,11.6,ND,ND
Gelatina,59,37,0.7,0,8.4,44.6,8,ND,ND
Gelatina de sabor en polvo,10,38,0.8,0,9.1,46.6,8.6,ND,ND
Gelatina en polvo para agua,10,38,0.8,0,9.1,46.6,8.6,ND,ND
Gelatina en polvo para leche,10,38,0.8,0,9.1,46.6,8.6,ND,ND
Gelatina preparada,72,45,0.9,0,10.2,54,9.7,ND,ND
Gomitas,12,42,0.5,0,10.2,0,7.1,ND,ND
Halls nite,8,31,0.1,0,7.6,0,5.5,ND,ND
Jalea,13,42,0,0,10.7,3.3,6.5,ND,ND
Jarabe de chocolate,18,49,0.4,0.2,11.4,12.7,8.7,ND,ND
Jarabe de sabor para preparar agua,17,41,0,0.1,11.2,0,ND,ND,ND
Jugo de caña de azucar,60,50,0.2,0.1,12.3,ND,ND,ND,ND
Jugo de ciruela pasa,64,45,0.4,0,11.2,2.6,10.5,ND,ND
Jugo de citricos preparados con agua,80,37,0.2,0,9.2,3.2,6.5,50,4.6
Jugo de fruta concentrado,20,45,0.8,0.3,10.1,1,10,50,5.1
Jugod e frutas,80,40,0,0,10,53.3,10,50,5
"Jugo de zanahoria, manzana y 3 frutas citricas",80,39,0,0,9.7,6.4,9,ND,ND
Jugo natural´es de Lala,125,28,0.5,0,6.5,3.8,6.5,ND,ND
Leche condensada,11,36,0.9,1,6.1,14.2,6.1,61,3.7
Leche condensada light,16,45,1.4,0.1,9.6,16.5,ND,ND,ND
Leche en polvo sabor chocolate con malbavisco,14,56,0.6,0.3,12.6,19,11.5,ND,ND
leche en polvo sabor fudge de chocolate,14,56,0.6,0.3,12.6,19,11.5,ND,ND
Malvavisco,14,45,0.3,0,11.4,11.2,8.1,ND,ND
Malvavisvo miniatura,13,40,0.2,0,10.2,10.1,7.3,ND,ND
Melaza,13,36,0,0,8.9,6.1,ND,ND,ND
Mentas de caramelo,10,41,0,0,10.2,0,10.2,70,7.1
"Merngue ""duro""",11,42,0.2,0,10.2,0,ND,ND,ND
Mermelada,17,41,0.1,0,10,0.2,8.1,48,4.8
Mermelada con frustosa,43,40,0,0,10,50,10,ND,ND
"Mermelada de fruta, menos azucar",30,40,0,0,9.9,0,9.9,ND,ND
miel  ,14,43,0,0,11.5,0.6,11.5,55,6.3
Miel de abeja,14,43,0,0,11.5,0.6,11.5,55,6.3
Miel de caña,12,35,0.1,0,8.7,ND,ND,ND,ND
Miel de maiz,12,36,0,0,9,8.2,ND,ND,ND
Miel de jarabe sabor maple,12,31,0,0,8.1,1.1,7.1,ND,ND
Monster Energy*,96,72,0,0,11,72,11,ND,ND
Monster Kaos*,96,36,0.4,0,8.4,6,8.4,ND,ND
Mousse de chocolate sin grasa,50,47,1,0.2,10.4,55,7.9,31,3.2
Néctar de fruta,63,38,0.1,0,9.9,2.5,9.5,54,5.3
Nescafe Dolca gusto Nestea peach,12,42,0,0,10,0,10,ND,ND
Nieves de frutas,40,40,0.2,0.1,9.7,0,9.7,ND,ND
Obelas de cajeta,7,30,0.7,0.7,5.3,15.3,5.3,ND,ND
Paleta de caramelo,12,44,0,0,11.8,0,11.8,70,8.3
Paleta helada de agua,52,41,0,0.1,10,3.6,7.1,ND,ND
Paleta helada de fruta,46,38,0.6,0.1,9.3,2,9.3,ND,ND
Paleta helada de fruta sin azúcar,153,36,0.9,0.3,9.6,9,9.6,ND,ND
Paleta helada de yogur sabor coco,35,47,0.7,0.9,9.1,22.8,9.1,ND,ND
Panditas,15,47,0.9,0,10.9,1.7,7.6,ND,ND
Pasitas con chocolate,11,43,0.5,1.6,7.5,4,6.8,ND,ND
Piloncillo,10,36,0,0,9.1,3,9.1,ND,ND
Piloncillo rallado,10,36,0,0,9.1,3,9.1,ND,ND
Ponche de frutas,79,36,0,0,9.2,4,ND,ND,ND
Queso de tuna,13,42,0.2,ND,10.3,ND,ND,ND,ND
Red Bull*,83,37,0.2,0.1,9,69.3,8.3,ND,ND
Refresco,92,38,0,0,9.7,3.5,9.7,66,6.4
Refresco de cola,92,38,0,0,9.7,3.5,9.7,58,5.6
Refresco de frutas,89,44,0,0,11.1,59.2,11.1,ND,ND
Salsa catsup,30,29,0.5,0.1,7.6,334.2,6.8,ND,ND
Salsa de manzana,16,42,0.1,0,10.7,37.1,7.2,ND,ND
Salsa de tamarindo,25,40,0.3,0.7,8.8,131.5,3.5,ND,ND
Salsa demiglass,63,36,1.3,0.5,7.5,576.2,3.5,ND,ND
Skwinkes clásicos,10,35,0.5,0.2,8.1,75,5,ND,ND
So be rush,99,52,0.4,0,10.7,43.6,10.7,ND,ND
Té helado en polvo,10,41,0,0.1,10.1,0.5,9.7,ND,ND
Tribu *,63,30,0.3,0,7,47.5,7,ND,ND
,,,,,,,,,
*Bebida energética con cafeína,,,,,,,,,
