Alegría natural,21,74,2.7,1.5,13.5,1.4,0,0.5,0.7,0,ND
Alegría tostada,16,63,2.2,1.3,11.7,1.6,0,47.9,0.3,0,ND
Amaranto cocido,330,70,7,0.5,13.5,0,185,690,7.5,70,ND
Amaranto tostado,16,63,2.2,1.3,11.6,1.6,0,47.5,0.3,0,ND
Anillos de trigo azucarados de colores,16,63,1,0.6,13.4,0.2,0,1.5,2.3,53.5,ND
Arroz cocido,47,60,1.1,0.1,13.3,0.1,26,1.4,0.7,0,ND
Arroz crudo,20,72,1.3,0.1,15.9,ND,1.8,1.8,0.2,0.2,ND
Arroz inflado con cocoa,17,64,0.9,0.2,14.7,0.1,58.2,3,1,126.2,ND
Arroz inflado natural,17,65,1.1,0.1,14.6,0.5,58.2,3,1,126.2,ND
Arroz integral cocido,65,73,1.5,0.5,15.3,1.2,2.6,6.7,0.3,0.7,ND
Arroz integral crudo,20,72,0.5,0.5,15.2,0.7,4,6.6,0.4,0.8,ND
Arroz precocido cocido,52,64,1.5,0.2,13.6,0.5,1.6,9.9,0.1,1,0.1
Arroz precocido crudo,20,75,1.6,0.2,16.1,0.4,1.6,11,0.1,0.6,0.1
Arroz pulido crudo,20,72,1.3,0.1,15.9,ND,1.8,1.8,0.2,0.2,ND
Arroz salvaje cocido,54,55,2.1,0.2,11.6,1,14.1,1.7,0.3,1.7,0.4
Arroz salvaje crudo,20,71,2.9,0.2,15,1.2,19,4.2,0.4,1.4,0.5
Atole en polvo,18,68,0,0,16.4,0,0,0,0,0,ND
Atole en sobre,16,58,0,0,14,0,0,0,0,0,ND
Atole vitaminado,16,59,0,0,14.1,0,0,0,0,0,ND
Avena cocida,164,66,5.2,1.3,18.8,4.3,10.5,16.4,1.4,1.5,ND
Avena con canela y especias,15,56,1.3,0.7,11.7,1,29,36.3,1.3,81.2,5.1
Avena con manzana y canela,14,53,1.2,0.7,10.9,0.9,27.1,33.9,1.2,75.9,4.8
Avena con pasitas y especias,14,53,1.2,0.7,10.9,0.9,27.1,33.9,1.2,75.9,4.8
Avena en hojuelas,20,73,3.2,1.3,13.4,2,0,10.4,0.8,0.8,0.2
Avena instantánea PLUS varios sabores,14,53,1.3,1,9.8,1.2,0,0,0,38.7,3
Avena instantánea preparada,77,53,1.8,1.1,9,1.3,54.8,61.8,4.6,37.8,0.4
Avena instantánea varios sabores,14,51,1,1,9.4,0.8,0,0,0,88.9,4.3
Avena integral,26,65,4.6,1.9,17.5,4.1,13.6,15.3,1.4,0.9,ND
"Avena integral con pasitas, instantánea preparada",22,77,1.7,0.9,16.4,1.3,44.1,55,2,120.8,7.8
Avena Quaker Old fashion,20,68,2.8,1.1,11.8,1.9,0,0,0,0,0.3
Bagel,24,65,2.5,0.4,12.6,0.5,5.3,17.7,0.8,126.3,ND
Bagel de ajo,24,67,2.5,0.4,12.9,0.6,5.5,18.1,0.9,129.4,ND
Bagel de ajonjolí,24,74,2.7,0.7,12.9,0.6,5.3,0,0,145.6,ND
Bagel de avena,24,60,2.5,0.3,12.6,0.9,11,3,0.7,120,ND
Bagel de canela y pasas,24,65,2.3,0.4,13.1,0.5,5,4.3,0.9,76.3,ND
Bagel de cebolla,24,74,2.7,0.7,12.9,0.6,11,0,0,145.6,ND
Bagel integral,24,60,2.5,0.3,12.6,0.9,5.3,0,0,120,ND
Baguette,27,72,2.2,1,13.4,0.6,9.7,29.2,0.8,145.8,1
Barquillo,15,64,1.1,1.1,12,0.4,0,3.8,0.5,22.5,ND
Barra Special K varios sabores,24,90,2,1,19,ND,ND,ND,ND,104.9,ND
Barra Stila varios sabores,19,68,1.6,1.3,12.4,1.5,0,0,0,71.3,5.3
Barrita de avena,14,56,0.8,1.1,11.1,0.5,2,4.5,0.3,52.5,4.8
Barrita de granola sabor manzana,14,55,0.8,1,11.3,0.7,2,4.5,0.3,39.5,5.1
Birote,22,67,2.1,0,14.1,0.1,0,9.1,0.3,123.3,ND
Bolillo,20,61,1.9,0,12.8,0.1,0,8.3,0.2,112.7,ND
Bolillo integral,20,64,2.1,0.1,13.4,0.2,0,12.3,0.6,68.5,ND
Bolillo integral sin migajón,20,64,2.1,0.1,13.4,0.2,0,12.3,0.6,68.5,ND
Bolillo sin migajón,20,61,1.9,0,12.8,0.1,0,8.3,0.2,112.7,ND
Bollo de hamburguesa,25,65,2.4,1.1,12.5,0.6,0,25.7,0.7,108.2,1.8
Bollos para hamburguesa,25,65,2.4,1.1,12.5,0.6,0,25.7,0.7,108.2,1.8
burbujas de maíz azucaradas,16,59,0.7,0.1,14,0.2,50,2,0.9,59.5,7
Camote al honor,70,70,1.2,0.1,16.4,1.3,15.9,24.7,0.4,5.6,ND
Camote amarillo,54,68,0.8,0.4,15.3,1.6,7.6,23.2,1.3,5.4,ND
