Acelga cruda,98,22,2.2,0.1,4.3,3.6,310.9,29.5,14.8,2.5,749.8
Acelga picada cocida,72,19,1.9,0.1,3.9,2.1,275.8,17.9,10.1,1.4,654.5
Alcachofa mediana cocida,48,25,1.4,0.2,5.7,4.1,0.5,3.6,42.7,0.3,137.3
Apio cocido,113,20,0.9,0.2,4.5,1.8,29.3,6.9,24.8,0.5,319.5
Apio crudo,135,22,0.9,0.2,4,2.5,29.7,4.2,48.5,0.3,350.6
"Arúgula, cruda",80,20,2.1,0.5,2.9,3.5,95.2,12,77.6,1.2,295.2
Berenjena picada cocida,99,35,0.8,0.2,8.6,2.5,2,1.3,13.9,0.4,245.4
Berro crudo,56,34,1.3,0.1,0.7,0.3,46.3,6.7,35.7,1.2,100.4
Betabel crudo,39,19,0.8,0.1,4.3,0.3,0.8,7.8,36.4,0.6,131
Betabel crudo rallado,38,18,0.8,0.1,4.1,0.3,0.8,7.5,34.9,0.6,125.6
Bledos crudos,95,27,2.4,0.3,3.8,0.9,189.5,40.6,80.3,4.1,577.4
Brócoli cocido,92,26,2.7,0.4,4.6,2.7,127.4,68.4,46,0.8,268.9
Brócoli crudo,71,19,2.1,0.3,3.7,2.1,110.2,66.4,50.2,0.6,231.7
Calabacita alargada cruda,91,21,1.6,0.1,3.4,1.4,12.3,11.8,23.7,0.5,183.9
Calabacita redonda cruda,79,18,1.4,0.1,2.9,1.2,10.7,10.3,20.5,0.4,159.6
Calabacita de Castilla cocida,110,22,0.8,0.1,5.4,1.2,275,5.2,9.9,0.6,253
Cebolla blanca rebanada,58,23,0.6,0.1,5.4,1,0,4.3,10.9,0.1,84
Cebolla cocida,53,23,0.7,0.1,5.3,0.7,0,2.7,7.9,0.1,87
Cebolla morada rebanada,58,20,0.5,0.1,4.4,0.7,0,6.3,ND,0.8,90.3
Cebollita de cambray sin raíz,72,23,1.3,0.1,5.3,1.9,36,13.5,46.1,1.1,198.7
Cebollita en salmuera,95,24,0.9,0.2,6.7,1.6,0,0,0,0,0
Champiñon cocido entero,78,20,2.8,0.3,3.2,1.4,0,0,15.6,0.2,308.9
